"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2012","Austria","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Austria","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Austria","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Portugal","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Portugal","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Portugal","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Portugal","Number","Total","Master's or equivalent level","Total",":",""
"2012","Portugal","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Portugal","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Portugal","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Belgium","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Belgium","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Belgium","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Belgium","Number","Total","Master's or equivalent level","Total",":",""
"2012","Belgium","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Belgium","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Belgium","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Czechia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Czechia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Czechia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Czechia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Czechia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Czechia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Czechia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Greece","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Greece","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Greece","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Greece","Number","Total","Master's or equivalent level","Total",":",""
"2012","Greece","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Greece","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Greece","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Norway","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Norway","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Norway","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Norway","Number","Total","Master's or equivalent level","Total",":",""
"2012","Norway","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Norway","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Norway","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Hungary","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Hungary","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Hungary","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Hungary","Number","Total","Master's or equivalent level","Total",":",""
"2012","Hungary","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Hungary","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Hungary","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Switzerland","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Switzerland","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Switzerland","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Switzerland","Number","Total","Master's or equivalent level","Total",":",""
"2012","Switzerland","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Switzerland","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Switzerland","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Finland","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Finland","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Finland","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Finland","Number","Total","Master's or equivalent level","Total",":",""
"2012","Finland","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Finland","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Finland","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Bulgaria","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Bulgaria","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Bulgaria","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Bulgaria","Number","Total","Master's or equivalent level","Total",":",""
"2012","Bulgaria","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Bulgaria","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Bulgaria","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Denmark","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Denmark","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Denmark","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Denmark","Number","Total","Master's or equivalent level","Total",":",""
"2012","Denmark","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Denmark","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Denmark","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Croatia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Croatia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Croatia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Croatia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Croatia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Croatia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Croatia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Slovakia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Slovakia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Slovakia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Slovakia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Slovakia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Slovakia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Slovakia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Serbia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Serbia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Serbia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Serbia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Serbia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Serbia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Serbia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Ireland","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Ireland","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Ireland","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Ireland","Number","Total","Master's or equivalent level","Total",":",""
"2012","Ireland","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Ireland","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Ireland","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Lithuania","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Lithuania","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Lithuania","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Lithuania","Number","Total","Master's or equivalent level","Total",":",""
"2012","Lithuania","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Lithuania","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Lithuania","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Cyprus","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Cyprus","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Cyprus","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Cyprus","Number","Total","Master's or equivalent level","Total",":",""
"2012","Cyprus","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Cyprus","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Cyprus","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Slovenia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Slovenia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Slovenia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Slovenia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Slovenia","Number","Total","Master's or equivalent level - academic","Total",":",""
