Country Code,Total graduates ISCED 5-7,Total graduates at ISCED 8
DE,1340,3
DE,961,48
DE,3228,288
DE,3348,268
DE,291,47
DE,5814,911
DE,1203,108
DE,387,7
DE,733,0
DE,292,8
DE,4168,454
DE,6465,744
DE,4552,390
DE,3440,180
DE,3387,403
DE,669,7
DE,557,18
DE,1276,239
DE,2070,280
DE,3330,322
DE,697,61
DE,4914,734
DE,4904,343
DE,327,223
DE,255,136
DE,1736,54
DE,1987,78
DE,2908,181
DE,2520,84
DE,1105,15
DE,7319,1068
DE,3543,226
DE,5171,502
DE,4747,677
DE,4421,291
DE,3164,512
DE,5741,545
DE,2943,40
DE,7671,697
DE,730,28
DE,6810,748
DE,3409,156
DE,2958,94
DE,3743,135
DE,421,86
DE,183,0
DE,2535,141
DE,3298,44
DE,5175,613
DE,66,15
DE,1871,67
DE,467,37
DE,1791,285
DE,1956,134
DE,4817,694
DE,636,84
DE,4300,695
DE,356,a
DE,161,20
DE,2504,336
DE,2360,258
DE,1199,15
DE,3610,486
DE,570,49
DE,1410,41
DE,1087,92
DE,2842,507
DE,775,59
DE,1147,0
DE,1173,0
DE,870,0
DE,1457,7
DE,564,4
DE,648,0
DE,52,5
DE,20,5
DE,2,0
DE,8,1
DE,12,2
DE,2,0
DE,6,3
DE,45,9
DE,127,0
DE,35,0
DE,48,4
DE,152,1
DE,142,0
DE,186,3
DE,208,0
DE,93,a
DE,99,a
DE,20,a
DE,215,0
DE,43,a
DE,101,0
DE,139,0
DE,852,11
DE,191,a
DE,163,a
DE,55,a
DE,136,3
DE,169,a
DE,167,8
DE,214,2
DE,50,a
DE,312,5
DE,66,0
DE,95,1
DE,150,8
DE,273,1
DE,158,0
DE,89,0
DE,135,0
DE,259,2
DE,63,1
DE,291,0
DE,49,0
DE,269,a
DE,84,0
DE,80,0
DE,82,3
DE,152,0
DE,20,a
DE,115,1
DE,212,5
DE,211,a
DE,140,0
DE,87,0
DE,186,1
DE,1517,a
DE,729,a
DE,550,a
DE,1348,a
DE,1489,a
DE,1691,a
DE,1698,a
DE,1154,a
DE,427,a
DE,1088,a
DE,1260,a
DE,977,a
DE,1522,a
DE,10271,a
DE,720,a
DE,1612,a
DE,193,a
DE,161,a
DE,1065,a
DE,978,a
DE,718,a
DE,989,a
DE,98,a
DE,151,a
DE,336,a
DE,336,a
DE,58,a
DE,251,a
DE,280,a
DE,363,a
DE,721,a
DE,582,a
DE,658,a
DE,1457,a
DE,988,a
DE,1123,a
DE,744,a
DE,1190,a
DE,1182,a
DE,1025,a
DE,3385,a
DE,619,a
DE,2762,a
DE,2290,a
DE,942,a
DE,1124,a
DE,1799,a
DE,514,a
DE,182,a
DE,733,a
DE,198,a
DE,313,a
DE,557,a
DE,770,a
DE,2243,a
DE,2735,a
DE,2767,a
DE,271,a
DE,99,a
DE,179,a
DE,106,a
DE,282,a
DE,185,a
DE,370,a
DE,343,a
DE,308,a
DE,401,a
DE,630,a
DE,672,a
DE,1620,a
DE,438,a
DE,191,a
DE,2561,a
DE,718,a
DE,1130,a
DE,273,a
DE,139,a
DE,168,a
DE,2728,0
DE,2189,0
DE,1473,0
DE,2410,0
DE,2129,0
DE,100,a
DE,153,a
DE,574,a
DE,304,a
DE,2417,a
DE,949,a
DE,437,a
DE,480,a
DE,433,a
DE,1520,a
DE,2448,a
DE,1804,a
DE,1386,a
DE,3018,a
DE,209,a
DE,527,a
DE,164,a
DE,50,a
DE,142,a
DE,1973,a
DE,1557,a
DE,971,a
DE,1207,a
DE,1664,a
DE,1564,a
DE,1107,a
DE,3196,a
DE,1050,a
DE,2891,a
DE,1991,a
DE,2016,a
DE,596,a
DE,1279,a
DE,268,a
DE,179,a
DE,252,a
DE,471,a
DE,401,a
DE,7598,a
DE,175,a
DE,497,a
DE,1389,a
DE,562,a
DE,124,a
DE,557,a
DE,1071,a
DE,415,a
DE,978,a
DE,1882,a
DE,1022,a
DE,1136,a
DE,1263,a
DE,680,a
DE,305,a
DE,1077,a
DE,2448,a
DE,818,a
DE,1233,a
DE,2195,a
DE,677,a
DE,842,a
DE,283,a
DE,182,a
DE,1263,a
DE,546,a
DE,1054,a
DE,468,a
DE,614,a
DE,418,a
DE,1122,a
DE,730,a
DE,548,a
DE,247,a
DE,931,a
DE,804,a
DE,405,a
DE,619,a
DE,199,a
DE,394,a
DE,1185,a
DE,183,a
DE,420,a
DE,1612,a
DE,174,a
DE,184,a
DE,164,a
DE,67,a
DE,216,a
DE,1066,a
DE,141,a
DE,92,a
DE,368,a
DE,146,a
DE,534,a
DE,2748,a
DE,1089,a
DE,191,a
DE,111,a
DE,235,a
DE,115,a
DE,176,a
DE,166,a
DE,151,a
DE,485,a
DE,135,a
DE,359,a
DE,132,a
DE,114,a
DE,879,a
DE,105,a
DE,104,0
DE,889,a
DE,806,a
DE,1043,a
DE,551,a
DE,59,a
DE,628,a
DE,63,a
DE,54,a
DE,51,a
DE,57,a
DE,102,a
DE,54,a
DE,380,a
DE,72,a
DE,120,a
DE,160,a
DE,197,a
DE,331,a
DE,169,a
DE,59,a
DE,1319,a
DE,41,a
DE,379,a
DE,1317,68
DE,113,a
DE,273,0
DE,48,a
DE,170,a
DE,41,a
DE,70,a
DE,90,a
DE,380,a
DE,37,a
DE,88,a
DE,127,a
DE,66,a
DE,467,a
DE,165,a
DE,51,a
DE,413,a
DE,51,a
DE,m,a
DE,33,a
DE,m,a
DE,139,a
DE,21,a
DE,21,a
DK,10416,758
DK,9647,438
DK,6152,197
DK,2163,30
DK,6177,153
DK,2935,408
DK,5004,42
DK,560,13
DK,233,3
DK,119,a
DK,601,4
DK,2596,a
DK,1325,a
DK,2934,a
DK,1677,a
DK,4797,a
DK,1816,a
DK,1206,a
DK,777,a
DK,525,a
DK,2138,a
DK,504,a
DK,312,a
DK,1710,a
DK,483,a
DK,136,a
DK,42,a
DK,87,m
DK,m,m
DK,57,a
DK,4371,a
DK,184,a
DK,140,20
DK,59,6
DK,107,10
DK,84,0
DK,959,a
DK,91,a
DK,172,a
DK,144,a
DK,112,a
EE,2595,118
EE,1986,57
EE,1416,20
EE,406,17
EE,228,a
EE,510,a
EE,292,4
EE,127,a
EE,367,a
EE,268,a
EE,241,2
EE,139,a
EE,171,3
EE,33,a
EE,45,a
EE,14,a
EE,50,a
EE,9,a
EE,m,a
ES,2849,112
ES,3825,86
ES,3484,164
ES,11540,348
ES,2326,43
ES,3652,80
ES,7371,116
ES,2632,60
ES,11141,316
ES,6173,207
ES,3881,234
ES,2449,74
ES,3432,71
ES,3367,18
ES,1902,51
ES,8452,640
ES,12079,623
ES,2881,100
ES,2112,64
ES,6543,282
ES,5252,218
ES,3015,162
ES,4957,193
ES,5100,168
ES,2863,68
ES,3062,48
ES,5687,258
ES,10779,380
ES,1469,0
ES,2129,50
ES,5746,358
ES,4268,140
ES,4339,66
ES,3384,103
ES,4718,279
ES,4036,106
ES,4324,123
ES,6421,513
ES,5015,177
ES,14540,626
ES,6471,175
ES,9974,114
ES,6566,189
ES,814,56
ES,1724,58
ES,8541,369
ES,960,26
ES,2761,8
ES,2581,8
ES,2046,1
ES,5498,5
ES,4907,0
